Category,Item Name,Price (MVR)
Add One,Butter,4
Add One,EXTRA CHEESE,20
Add One,Extra Chicken,15
Add One,Extra Salad,10
Add One,Extra cut chilli,5
Add One,extra beef,15
Add One,extra chilli paste,5
Add One,extra egg,5
Add One,extra papadum,10
Add One,extra tuna,10
Beverages,Blue Bull Bull Mojito,80
Beverages,Blue Lagoon Mojito,85
Beverages,Coca Cola,25
Beverages,Coca Cola Big,42
Beverages,Coke (diet),20
Beverages,Coke Float,50
Beverages,Fanta Orange,25
Beverages,Fanta Orange (Big),42
Beverages,Fanta Strawberry,25
Beverages,Granini drinks,35
Beverages,Ice milk,25
Beverages,Iced Coffee,45
Beverages,Iced Lemon Tea,40
Beverages,Iced Milo (Small),20
Beverages,Iced milo,40
Beverages,Kulfi,10
Beverages,Passion Fruit Mojto,65
Beverages,Peach Iced Lemon Tea,45
Beverages,Redbul,55
Beverages,Rose Syrup (Big),30
Beverages,Rose syrup,15
Beverages,Sagiko,20
Beverages,Sprite,25
Beverages,Water BIG,10
Beverages,water Small,5
Beverages,XL (Mojito),55
Beverages,XL (Big),40
Beverages,XL (Small),30
Biryani,Chicken Biryani,70
Curry & Others,Baippen,10
Curry & Others,Baippen Takeway,12
Curry & Others,Bandu Riha,25
Curry & Others,Beef Curry,35
Curry & Others,Bisriha,22
Curry & Others,Butter Chicken Masala,65
Curry & Others,Butter Chicken Masala (Half),40
Curry & Others,Chicken curry,35
Curry & Others,Farumas Riha,35
Curry & Others,Fish Curry,35
Curry & Others,Fish curry (Half),20
Curry & Others,Garudhiya,13
Curry & Others,Garudhiya Takeway,15
Curry & Others,Garudiya (Half),8
Curry & Others,Kukulhu Kurandi,27
Curry & Others,Kulhi Riha,30
Curry & Others,Masburi Riha,22
Curry & Others,Mugu RIha,22
Curry & Others,Mugu Riha (half),14
Curry & Others,Roshi,3
Curry & Others,Valhomas Dhon Riha,27
Curry & Others,Vegetable Curry,18
Curry & Others,chicken curry (half),20
Curry & Others,valhomas dhon riha (Half),20
Dessert,APPOL SWEET,15
Dessert,Banana Bread,10
Dessert,Brownie,45
Dessert,Chocolate Cake,5
Dessert,Chocolate Ice-cream,15
Dessert,KHILLI,3
Dessert,Mango Ice cream,15
Dessert,Pineapple cake,25
Dessert,Pudding,20
Dessert,Strawberry Ice-Cream,15
Dessert,Suji,15
Dessert,Vanila Ice-Cream,15
Dessert,WAFFLE,15
Dessert,Whole Pudding,120
Fresh Juice,Half Juice,6.48
Fresh Juice,Lemon Juice (Small),20
Fresh Juice,Lemon juice,35
Fresh Juice,MANGO JUICE (SMALL),17
Fresh Juice,MIX FRUITS JUICE,45
Fresh Juice,Mango Juice,55
Fresh Juice,Mix Fresh Juice,50
Fresh Juice,Orange Juice,45
Fresh Juice,Orange Juice (Small),25
Fresh Juice,Passion Fruit Juice,50
Fresh Juice,Watermelon Juice (Small),17
Fresh Juice,Watermelon juice,50
Fresh Juice,apple juice,40
Fresh Juice,pineapple juice,50
Fried Rice,Beef Fried Rice,60
Fried Rice,Chicken Fried Rice,55
Fried Rice,Egg fried rice,45
Fried Rice,Grill chicken with garlic rice,78
Fried Rice,Grill chicken with vegetable rice,78
Fried Rice,Mix Fried Rice,70
Fried Rice,Sausage Fried Rice,48
Fried Rice,Tuna Fried Rice,45
Fried Rice,Tuna fried rice large,60
Fried Rice,ValhoMas Fried Rice,55
Fried Rice,Veg Fried Rice,40
Fried Rice,grill chicken with egg rice,85
Fried Rice,mongolian rice,60
Hot Drinks,BIG LAVAZA MILK,40
Hot Drinks,BIG MILK COFFEE,18
Hot Drinks,Big Black tea,4
Hot Drinks,Black Tea,3
Hot Drinks,Bombay Tea,10
Hot Drinks,Cardomon Tea,10
Hot Drinks,Condensed milk,15
Hot Drinks,Condensed milk coffee,15
Hot Drinks,Double Coffee,10.8
Hot Drinks,Espressos,25
Hot Drinks,Espressos double,55
Hot Drinks,Ginger Tea,5
Hot Drinks,HOT LEMON WITH HONEY,15
Hot Drinks,Hot Chocolate,35
Hot Drinks,Hot Chocolate half,20
Hot Drinks,Hot Milk,15
Hot Drinks,Hot Milo,25
Hot Drinks,Lavaza black,20
Hot Drinks,Lavaza milk,25
Hot Drinks,Lemon Ginger Tea,10
Hot Drinks,Lemon Tea,5
Hot Drinks,Masala Tea,10
Hot Drinks,Milk Tea,17
Hot Drinks,Milk Tea Condensed,10
Hot Drinks,Milk Tea Powder,17
Hot Drinks,Milk coffee,20
Hot Drinks,Mix Tea,15
Hot Drinks,Nescafe Black,10
Hot Drinks,Nescafe Milk,20
Hot Drinks,Original Coffee,10
Hot Drinks,PACKET COFFEE,8
Juice (Packaged),Coconut water,55
Juice (Packaged),Mixed Fruit Juice Pkt,35
Juice (Packaged),Sunquick Big,20
Juice (Packaged),Sunquick Small,10
Kotthu Roshi,Beef Kohtthu Roshi,60
Kotthu Roshi,Boava khotturoshi,65
Kotthu Roshi,Chicken Cheese Kotthu Roshi,75
Kotthu Roshi,Chicken Kohtthu Roshi,55
Kotthu Roshi,Crispy chicken kothu roshi,60
Kotthu Roshi,Mix kohtthu Roshi,70
Kotthu Roshi,Paratha kothhuroshi,60
Kotthu Roshi,Tuna Kohtthu Roshi,45
Kotthu Roshi,VALHOMAS KOHTTHU ROSHI,65
Kotthu Roshi,Veg Kohtthu Roshi,40
Kotthu Roshi,valhomas kohthu roshi large,75
Lunch Items,Bamigorang,75
Lunch Items,FULL CHICKEN PACK,150
Lunch Items,Half Plain Rice,8
Lunch Items,Nasigorang,78
Lunch Items,Plain Rice,12
Milkshake,Banana & vanilla milkshake,55
Milkshake,Chocolate Milkshake,55
Milkshake,Mango milkshake,55
Milkshake,Oreo Milkshake,60
Milkshake,Vanila Milkshake,55
Milkshake,strawberry milkshake,55
Noodles,Beef noodles,60
Noodles,Chicken Noodles,55
